"Date","Price","Open","High","Low","Change %"
"Aug 17, 2021","0.395","0.395","0.395","0.395","0.00%"
"Aug 16, 2021","0.395","0.390","0.395","0.390","1.28%"
"Aug 13, 2021","0.390","0.390","0.390","0.390","0.00%"
"Aug 12, 2021","0.390","0.395","0.395","0.390","-1.27%"
"Aug 11, 2021","0.395","0.395","0.395","0.395","0.00%"
"Aug 10, 2021","0.395","0.395","0.395","0.395","0.00%"
"Aug 09, 2021","0.395","0.395","0.395","0.395","3.95%"
"Aug 06, 2021","0.380","0.380","0.380","0.380","0.00%"
"Aug 05, 2021","0.380","0.375","0.380","0.375","1.33%"
"Aug 04, 2021","0.375","0.385","0.385","0.375","-2.60%"
"Aug 03, 2021","0.385","0.385","0.385","0.385","-1.28%"
"Aug 02, 2021","0.390","0.390","0.390","0.390","0.00%"
"Jul 30, 2021","0.390","0.390","0.390","0.390","0.00%"
"Jul 29, 2021","0.390","0.395","0.395","0.390","-1.27%"
"Jul 28, 2021","0.395","0.390","0.395","0.390","1.28%"
"Jul 27, 2021","0.390","0.380","0.390","0.380","2.63%"
"Jul 26, 2021","0.380","0.385","0.385","0.380","-1.30%"
"Jul 23, 2021","0.385","0.390","0.390","0.385","-1.28%"
"Jul 22, 2021","0.390","0.390","0.390","0.390","1.30%"
"Jul 21, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 20, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 19, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 16, 2021","0.385","0.390","0.390","0.385","-1.28%"
"Jul 15, 2021","0.390","0.395","0.395","0.390","-1.27%"
"Jul 14, 2021","0.395","0.395","0.395","0.395","0.00%"
"Jul 13, 2021","0.395","0.385","0.395","0.385","2.60%"
"Jul 12, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 09, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 08, 2021","0.385","0.385","0.385","0.385","0.00%"
"Jul 07, 2021","0.385","0.395","0.395","0.385","-2.53%"
"Jul 06, 2021","0.395","0.395","0.395","0.395","0.00%"
"Jul 05, 2021","0.395","0.410","0.410","0.395","-3.66%"
"Jul 02, 2021","0.410","0.410","0.410","0.410","0.00%"
"Jul 01, 2021","0.410","0.410","0.410","0.410","0.00%"
"Jun 30, 2021","0.410","0.415","0.415","0.410","-1.20%"
"Jun 29, 2021","0.415","0.420","0.420","0.415","-1.19%"
"Jun 28, 2021","0.420","0.420","0.420","0.420","0.00%"
